source,method,f1_mean,f1_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,mcc_mean,g_mean_mean,rank_f1,rank_pr_auc
real,Random Undersampling + RF,0.0672282682403928,0.0126046100685556,0.1121264895367968,0.0502734965297082,0.8518518518518517,0.0350051877775003,0.127900645360868,0.7503217895301298,14.0,12.0
real,SMOTE + RF,0.2757487922705314,0.0884439610346928,0.2618055463926401,0.0929850218411088,0.1851851851851852,0.546031746031746,0.3122211158349749,0.424938607966243,2.0,6.0
real,SMOTE-ENN + RF,0.2135042735042735,0.092450506805721,0.2059189630711534,0.0521271433751268,0.1481481481481481,0.3849206349206349,0.2320185275344057,0.3787314943122126,4.0,8.0
real,SMOTE-Tomek + RF,0.3035265700483092,0.1222123594958978,0.2929636778974188,0.0734589259154738,0.2037037037037037,0.6015873015873016,0.3445990854761366,0.443540629720681,1.0,2.0
real,ADASYN + RF,0.0289855072463768,0.0502043712338804,0.0410314156196236,0.0221758599012791,0.0333333333333333,0.0256410256410256,0.0218072089519021,0.1048992075623385,7.0,2.0
real,Balanced Bagging,0.0361008423918399,0.0089928719656485,0.0333570360259034,0.006667622898896,0.6,0.0186145872607178,0.0705574836892924,0.6634570883432102,6.0,7.0
real,Balanced Random Forest,0.0382730333039186,0.0076689030894124,0.0265733420308451,0.0102038319470345,0.6333333333333333,0.0197344643186428,0.077651681864214,0.6846138780326753,4.0,11.0
real,Baseline RF,0.0,0.0,0.0197790709451615,0.0099915364888506,0.0,0.0,0.0,0.0,12.5,12.0
real,Borderline-SMOTE + RF,0.0476190476190476,0.0824786098842322,0.0356632866406291,0.0197703117143875,0.0333333333333333,0.0833333333333333,0.0476032518052224,0.1052819750486044,3.0,5.0
real,Class weight LogisticRegression,0.0497097242380261,0.0042889410321588,0.0363565565716412,0.0108135079909714,0.7000000000000001,0.0257786211258697,0.1051736151843651,0.740446644093768,1.0,4.0
real,Custom weighted log-loss LR,0.0,0.0,0.0399056673744915,0.0170123833452143,0.0,0.0,-0.0037323815281571,0.0,12.5,3.0
real,EasyEnsemble,0.0370057588636823,0.0063944848181545,0.0352323514841311,0.0122695522928989,0.7999999999999999,0.0189452547036026,0.0882508232349347,0.7259333831614398,5.0,6.0
real,RF (balanced_subsample),0.0,0.0,0.0189889478329687,0.0035658320573317,0.0,0.0,0.0,0.0,12.5,14.0
real,RUSBoost,0.0179758860065765,0.0078538714461348,0.0099564288800168,0.000616469137972,0.35,0.0093112582781456,0.0155783528920879,0.4489099223691394,9.0,15.0
real,Random Oversampling + RF,0.0,0.0,0.0448544557901622,0.0256751666304051,0.0,0.0,-0.0008449694680403,0.0,12.5,1.0
